id express priority volume weight reward duration
0 0 1 26 7 1991 869
1 0 1 16 13 1990 812
2 0 1 20 19 1990 685
3 0 1 9 19 1989 883
4 0 1 23 23 1989 392
5 0 1 19 5 1988 157
6 0 1 7 26 1988 409
7 0 1 6 22 1987 175
8 0 1 14 28 1986 242
9 0 1 20 25 1984 967
10 0 1 7 20 1982 576
11 0 1 11 18 1981 1038
12 0 1 29 16 1981 276
13 0 1 25 26 1980 202
14 0 1 6 17 1976 361
15 0 1 23 22 1974 598
16 0 1 28 15 1970 860
17 0 1 3 21 1969 589
18 0 1 16 27 1967 378
19 0 1 12 17 1967 900
20 0 1 9 18 1965 1068
21 0 1 20 21 1964 706
22 0 1 20 19 1961 266
23 0 1 3 20 1961 683
24 0 1 4 20 1958 829
25 0 1 7 26 1957 609
26 0 1 28 15 1954 458
27 0 1 26 24 1950 784
28 0 1 20 28 1950 787
29 0 1 17 25 1950 502
30 0 1 22 27 1948 814
31 0 1 13 23 1948 482
32 0 1 4 23 1947 894
33 0 1 29 22 1947 957
34 0 1 20 28 1947 157
35 0 1 9 15 1946 485
36 0 1 15 23 1946 1039
37 0 1 26 21 1946 839
38 0 1 7 26 1945 339
39 0 1 6 16 1945 593
40 0 1 17 18 1940 844
41 0 1 27 29 1939 476
42 0 1 21 15 1939 596
43 0 1 14 20 1934 365
44 0 1 6 23 1934 1061
45 0 1 19 22 1933 547
46 0 1 4 24 1932 269
47 0 1 9 17 1931 922
48 0 1 17 18 1931 420
49 0 1 17 13 1930 1059
50 0 1 17 13 1930 1043
51 0 1 8 27 1930 340
52 0 1 13 21 1929 981
53 0 1 15 20 1928 184
54 0 1 16 29 1928 386
55 0 1 18 18 1926 744
56 0 1 9 21 1926 110
57 0 1 15 17 1924 1007
58 0 1 12 15 1924 386
59 0 1 13 14 1922 1075
60 0 1 13 28 1922 879
61 0 1 11 26 1919 778
62 0 1 17 18 1918 834
63 0 1 13 15 1917 329
64 0 1 13 24 1916 179
65 0 1 4 17 1916 740
66 0 1 29 21 1914 751
67 0 1 29 20 1914 1061
68 0 1 14 14 1913 567
69 0 1 17 19 1913 419
70 0 1 6 19 1911 597
71 0 1 25 21 1910 753
72 0 1 4 18 1908 201
73 0 1 14 22 1907 966
74 0 1 8 17 1904 680
75 0 1 8 18 1904 708
76 0 1 17 21 1904 120
77 0 1 7 14 1903 1075
78 0 1 13 21 1902 681
79 0 1 22 22 1901 218
80 0 1 8 14 1901 239
81 0 1 17 28 1900 455
82 0 1 15 21 1900 924
83 0 1 11 22 1899 422
